fixture_id,match_date,kickoff_utc,home_team,away_team,stage,status
537373,2026-06-27,2026-06-27T00:00:00Z,Uruguay,Spain,GROUP_STAGE,TIMED
537374,2026-06-27,2026-06-27T00:00:00Z,Cape Verde Islands,Saudi Arabia,GROUP_STAGE,TIMED
537367,2026-06-27,2026-06-27T03:00:00Z,New Zealand,Belgium,GROUP_STAGE,TIMED
537368,2026-06-27,2026-06-27T03:00:00Z,Egypt,Iran,GROUP_STAGE,TIMED
537413,2026-06-27,2026-06-27T21:00:00Z,Panama,England,GROUP_STAGE,TIMED
537414,2026-06-27,2026-06-27T21:00:00Z,Croatia,Ghana,GROUP_STAGE,TIMED
537407,2026-06-27,2026-06-27T23:30:00Z,Colombia,Portugal,GROUP_STAGE,TIMED
537408,2026-06-27,2026-06-27T23:30:00Z,Congo DR,Uzbekistan,GROUP_STAGE,TIMED
537401,2026-06-28,2026-06-28T02:00:00Z,Jordan,Argentina,GROUP_STAGE,TIMED
537402,2026-06-28,2026-06-28T02:00:00Z,Algeria,Austria,GROUP_STAGE,TIMED
537417,2026-06-28,2026-06-28T19:00:00Z,TBD,TBD,LAST_32,TIMED
537423,2026-06-29,2026-06-29T17:00:00Z,TBD,TBD,LAST_32,TIMED
537415,2026-06-29,2026-06-29T20:30:00Z,TBD,TBD,LAST_32,TIMED
537418,2026-06-30,2026-06-30T01:00:00Z,TBD,TBD,LAST_32,TIMED
537424,2026-06-30,2026-06-30T17:00:00Z,TBD,TBD,LAST_32,TIMED
537416,2026-06-30,2026-06-30T21:00:00Z,TBD,TBD,LAST_32,TIMED
537425,2026-07-01,2026-07-01T01:00:00Z,TBD,TBD,LAST_32,TIMED
537426,2026-07-01,2026-07-01T16:00:00Z,TBD,TBD,LAST_32,TIMED
537422,2026-07-01,2026-07-01T20:00:00Z,TBD,TBD,LAST_32,TIMED
537421,2026-07-02,2026-07-02T00:00:00Z,TBD,TBD,LAST_32,TIMED
537420,2026-07-02,2026-07-02T19:00:00Z,TBD,TBD,LAST_32,TIMED
537419,2026-07-02,2026-07-02T23:00:00Z,TBD,TBD,LAST_32,TIMED
537429,2026-07-03,2026-07-03T03:00:00Z,TBD,TBD,LAST_32,TIMED
537428,2026-07-03,2026-07-03T18:00:00Z,TBD,TBD,LAST_32,TIMED
537427,2026-07-03,2026-07-03T22:00:00Z,TBD,TBD,LAST_32,TIMED
537430,2026-07-04,2026-07-04T01:30:00Z,TBD,TBD,LAST_32,TIMED
537376,2026-07-04,2026-07-04T17:00:00Z,TBD,TBD,LAST_16,TIMED
537375,2026-07-04,2026-07-04T21:00:00Z,TBD,TBD,LAST_16,TIMED
537377,2026-07-05,2026-07-05T20:00:00Z,TBD,TBD,LAST_16,TIMED
537378,2026-07-06,2026-07-06T00:00:00Z,TBD,TBD,LAST_16,TIMED
537379,2026-07-06,2026-07-06T19:00:00Z,TBD,TBD,LAST_16,TIMED
537380,2026-07-07,2026-07-07T00:00:00Z,TBD,TBD,LAST_16,TIMED
537381,2026-07-07,2026-07-07T16:00:00Z,TBD,TBD,LAST_16,TIMED
537382,2026-07-07,2026-07-07T20:00:00Z,TBD,TBD,LAST_16,TIMED
537383,2026-07-09,2026-07-09T20:00:00Z,TBD,TBD,QUARTER_FINALS,TIMED
537384,2026-07-10,2026-07-10T19:00:00Z,TBD,TBD,QUARTER_FINALS,TIMED
537385,2026-07-11,2026-07-11T21:00:00Z,TBD,TBD,QUARTER_FINALS,TIMED
537386,2026-07-12,2026-07-12T01:00:00Z,TBD,TBD,QUARTER_FINALS,TIMED
537387,2026-07-14,2026-07-14T19:00:00Z,TBD,TBD,SEMI_FINALS,TIMED
537388,2026-07-15,2026-07-15T19:00:00Z,TBD,TBD,SEMI_FINALS,TIMED
537389,2026-07-18,2026-07-18T21:00:00Z,TBD,TBD,THIRD_PLACE,TIMED
537390,2026-07-19,2026-07-19T19:00:00Z,TBD,TBD,FINAL,TIMED
