match_date,home_team,away_team,predicted_home_win_prob,predicted_draw_prob,predicted_away_win_prob,predicted_outcome,predicted_home_goals,predicted_away_goals,actual_outcome,actual_home_goals,actual_away_goals,odds_matched,odds_source,bookmaker_odds_used,payout,profit,cumulative_profit,home_win_implied_prob,draw_implied_prob,away_win_implied_prob,home_win_edge,draw_edge,away_win_edge,best_edge,bet_recommendation
2022-11-20,Qatar,Ecuador,0.4282427499407222,0.31238340270432563,0.25937383742084474,2,1,0,0,0.0,2.0,False,stub_2.0,2.0,0.0,-1.0,-1.0,0.5,0.5,0.5,-0.0717572500592778,-0.18761659729567437,-0.24062616257915526,-0.0717572500592778,Avoid
2022-11-21,Senegal,Netherlands,0.30014012469409124,0.28203452200704093,0.4178253433647601,0,1,1,0,0.0,2.0,False,stub_2.0,2.0,2.0,1.0,0.0,0.5,0.5,0.5,-0.19985987530590876,-0.21796547799295907,-0.08217465663523987,-0.08217465663523987,Avoid
2022-11-21,England,Iran,0.47630603487554324,0.2997173717197352,0.2239765884376675,2,1,1,2,6.0,2.0,False,stub_2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,-0.02369396512445676,-0.20028262828026477,-0.2760234115623325,-0.02369396512445676,Neutral
2022-11-21,United States,Wales,0.46375500865991737,0.3083024456273701,0.2279425556468197,2,1,0,1,1.0,1.0,False,stub_2.0,2.0,0.0,-1.0,0.0,0.5,0.5,0.5,-0.03624499134008263,-0.19169755437262992,-0.2720574443531803,-0.03624499134008263,Neutral
2022-11-22,Argentina,Saudi Arabia,0.6773966128459958,0.25143670028665055,0.07116668190030005,2,2,0,0,1.0,2.0,False,stub_2.0,2.0,0.0,-1.0,-1.0,0.5,0.5,0.5,0.17739661284599584,-0.24856329971334945,-0.42883331809969993,0.17739661284599584,Value
2022-11-22,Mexico,Poland,0.43715781515047736,0.33012313077817745,0.2327190640054527,2,1,1,1,0.0,0.0,False,stub_2.0,2.0,0.0,-1.0,-2.0,0.5,0.5,0.5,-0.06284218484952264,-0.16987686922182255,-0.2672809359945473,-0.06284218484952264,Avoid
2022-11-22,Denmark,Tunisia,0.5362633025057618,0.2825633345537186,0.1811733530064117,2,1,0,1,0.0,0.0,False,stub_2.0,2.0,0.0,-1.0,-3.0,0.5,0.5,0.5,0.03626330250576182,-0.21743666544628137,-0.3188266469935883,0.03626330250576182,Neutral
2022-11-22,France,Australia,0.5929925469569971,0.2886349138622326,0.11837255408193123,2,1,0,2,4.0,1.0,False,stub_2.0,2.0,2.0,1.0,-2.0,0.5,0.5,0.5,0.0929925469569971,-0.2113650861377674,-0.38162744591806874,0.0929925469569971,Value
2022-11-23,Germany,Japan,0.44866889856488656,0.29613723482881404,0.25519387157335327,2,1,1,0,1.0,2.0,False,stub_2.0,2.0,0.0,-1.0,-3.0,0.5,0.5,0.5,-0.051331101435113435,-0.20386276517118596,-0.24480612842664673,-0.051331101435113435,Avoid
2022-11-23,Spain,Costa Rica,0.5610298828540083,0.28525996391767516,0.15371015819537007,2,1,0,2,7.0,0.0,False,stub_2.0,2.0,2.0,1.0,-2.0,0.5,0.5,0.5,0.061029882854008344,-0.21474003608232484,-0.34628984180462996,0.061029882854008344,Value
2022-11-23,Morocco,Croatia,0.3395330390428773,0.30082892033596637,0.3596380207529415,0,1,1,1,0.0,0.0,False,stub_2.0,2.0,0.0,-1.0,-3.0,0.5,0.5,0.5,-0.1604669609571227,-0.19917107966403363,-0.1403619792470585,-0.1403619792470585,Avoid
2022-11-23,Belgium,Canada,0.6165144348298274,0.2291592000490008,0.1543263651211718,2,1,0,2,1.0,0.0,False,stub_2.0,2.0,2.0,1.0,-2.0,0.5,0.5,0.5,0.11651443482982737,-0.2708407999509992,-0.3456736348788282,0.11651443482982737,Value
2022-11-24,Switzerland,Cameroon,0.5294248014598788,0.270856012417876,0.19971918115519133,2,1,0,2,1.0,0.0,False,stub_2.0,2.0,2.0,1.0,-1.0,0.5,0.5,0.5,0.029424801459878802,-0.229143987582124,-0.3002808188448087,0.029424801459878802,Neutral
2022-11-24,Brazil,Serbia,0.552443252724947,0.28316736568184586,0.16438937662615324,2,1,0,2,2.0,0.0,False,stub_2.0,2.0,2.0,1.0,0.0,0.5,0.5,0.5,0.05244325272494699,-0.21683263431815414,-0.33561062337384673,0.05244325272494699,Value
2022-11-24,Uruguay,South Korea,0.5589793478827179,0.2786893754025258,0.16233126181359503,2,1,0,1,0.0,0.0,False,stub_2.0,2.0,0.0,-1.0,-1.0,0.5,0.5,0.5,0.05897934788271786,-0.2213106245974742,-0.33766873818640497,0.05897934788271786,Value
2022-11-24,Portugal,Ghana,0.705215805758187,0.21700804084311762,0.07777616333280317,2,2,0,2,3.0,2.0,False,stub_2.0,2.0,2.0,1.0,0.0,0.5,0.5,0.5,0.205215805758187,-0.28299195915688236,-0.4222238366671968,0.205215805758187,Value
2022-11-25,Qatar,Senegal,0.33318965770585324,0.2723913477696603,0.3944190143927012,0,1,1,0,1.0,3.0,False,stub_2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,-0.16681034229414676,-0.22760865223033971,-0.10558098560729878,-0.10558098560729878,Avoid
2022-11-25,Netherlands,Ecuador,0.5759764494097032,0.2974371068184789,0.12658642638712975,2,1,0,1,1.0,1.0,False,stub_2.0,2.0,0.0,-1.0,0.0,0.5,0.5,0.5,0.07597644940970316,-0.2025628931815211,-0.37341357361287025,0.07597644940970316,Value
2022-11-25,Wales,Iran,0.3983113726291659,0.28229005148561337,0.31939857588522075,2,1,1,0,0.0,2.0,False,stub_2.0,2.0,0.0,-1.0,-1.0,0.5,0.5,0.5,-0.10168862737083412,-0.21770994851438663,-0.18060142411477925,-0.10168862737083412,Avoid
2022-11-25,England,United States,0.4572216639771767,0.3145588818425133,0.22821944424620239,2,1,1,1,0.0,0.0,False,stub_2.0,2.0,0.0,-1.0,-2.0,0.5,0.5,0.5,-0.04277833602282333,-0.1854411181574867,-0.2717805557537976,-0.04277833602282333,Neutral
2022-11-26,Poland,Saudi Arabia,0.47935725274210883,0.3433927074000448,0.17725005475900762,2,1,0,2,2.0,0.0,False,stub_2.0,2.0,2.0,1.0,-1.0,0.5,0.5,0.5,-0.02064274725789117,-0.1566072925999552,-0.3227499452409924,-0.02064274725789117,Neutral
2022-11-26,Argentina,Mexico,0.5809260860760074,0.2698952159177152,0.14917871290743834,2,1,0,2,2.0,0.0,False,stub_2.0,2.0,2.0,1.0,0.0,0.5,0.5,0.5,0.08092608607600738,-0.2301047840822848,-0.35082128709256166,0.08092608607600738,Value
2022-11-26,Tunisia,Australia,0.48182796644726356,0.2855240510482893,0.2326479725703398,2,1,0,0,0.0,1.0,False,stub_2.0,2.0,0.0,-1.0,-1.0,0.5,0.5,0.5,-0.018172033552736444,-0.21447594895171068,-0.2673520274296602,-0.018172033552736444,Neutral
